id,name,requirements,tasks,summary,pageUrl
JOB48930743633,Machine Learning Engineer - Product,,"Collect and gather datasets to build machine learning (ML) models that make real-time decisions for the Nextdoor platform,Analyze datasets and and use important features to build low-latency models for decisions that need to be made quickly,Deploy ML models into production environments and integrate them into the product,Run and analyze live user-facing experiments to iterate on model quality by measuring impact on business metrics,Collaborate with other engineers and data scientists to create optimal experiences on the platform,B.S. in Computer Science, Applied Math, Statistics, Computational Biology or a related field,5+ years of industry/academic experience applying machine learning at scale.,Proven engineering skills. Experience writing and maintaining high-quality production code. Python experience a plus.,Ability to work with and analyze large amounts of data.,Experience building ML products at large consumer-facing companies,Experience building ML products related to ads relevance or newsfeed products","#TeamNextdoor
Nextdoor is the neighborhood hub for trusted connections and the exchange of helpful i...",https://www.linkedin.com/jobs/view/machine-learning-engineer-product-at-nextdoor-1967243118?refId=07e8e278-aa1c-4bab-ad96-0b187970e3bf&position=17&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
JOB154836576800,Applied Machine Learning Engineer,"Deep technical skills in machine learning, deep learning, computer vision, natural language processing, or artificial intelligence,Good track record of innovation in creating novel computer vision and machine learning algorithms and advancing the state of the art,Strong fundamentals in problem solving, algorithm design, and model building, and experiences in building early stage products,A passion for creating innovative techniques, making them robust and scalable, and realizing in high impact products",,We are looking for experienced research scientists with a passion for using machine learning and com...,https://filemakerjobs.apple.com/en-us/details/200047922/applied-machine-learning-engineer
JOB155122608666,Applied Machine Learning Engineer,"Deep technical skills in machine learning, deep learning, computer vision, natural language processing, or artificial intelligence,Good track record of innovation in creating novel computer vision and machine learning algorithms and advancing the state of the art,Strong fundamentals in problem solving, algorithm design, and model building, and experiences in building early stage products,A passion for creating innovative techniques, making them robust and scalable, and realizing in high impact products",,We are looking for experienced research scientists with a passion for using machine learning and com...,https://filemakerjobs.apple.com/en-us/details/200044393/applied-machine-learning-engineer
JOB247596016960,Claims Machine Learning Engineer,"BS degree in Computer Science, Machine Learning or Artificial Intelligence major is preferred or equivalent experience,Minimum of 5 years full time hands-on software engineering experience,Minimum of 2-3 years full time hands-on machine learning or artificial intelligence software engineering experience,Both front and backend technical experience with cognitive business applications.,Instinctive knowledge of how people will want to use a product, service, or solution that solves a real world business problem.,Hands on experience with various supervised and unsupervised machine-learning techniques,Understanding of various deep machine-learning techniques,Hands on experience in one or two of the following areas: machine learning, natural language processing, or ontology engineering technologies.,Ability to develop and adapt standard machine learning methods and best practice","Develops and adapts best practices to design and build medium complexity machine learning systems,Contributes to design and prototyping of medium to high complexity machine learning systems,Contributes to the realization of major machine learning technical capabilities in the industry by being responsible for the identification, research and software implementation of these capabilities,With some technical support, leads a technical team to implement machine learning solutions,Contributes to effort to revise current practices; lead innovation in technical capability delivery,Provides influence and technical advice to Jr. level team members when developing solutions,Reaches out to support and collaborate with other technology functional teams to build the solution,Represents area of professional and/or technical expertise for Claims,May be considered a thought leader within the team","Job description
Where good people build rewarding careers.
Think that working in the insurance field...",https://www.linkedin.com/jobs/view/claims-machine-learning-engineer-at-allstate-830902650/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
JOB254698579273,"Results for ""Machine Learning Engineer Jobs in United States""",,,,https://www.linkedin.com/jobs/machine-learning-engineer-jobs
JOB260696615487,Applied Machine Learning Engineer,"Deep technical skills in machine learning, deep learning, computer vision, natural language processing, or artificial intelligence,Good track record of innovation in creating novel computer vision and machine learning algorithms and advancing the state of the art,Strong fundamentals in problem solving, algorithm design, and model building, and experiences in building early stage products,A passion for creating innovative techniques, making them robust and scalable, and realizing in high impact products",,We are looking for experienced research scientists with a passion for using machine learning and com...,https://filemakerjobs.apple.com/en-us/details/200047920/applied-machine-learning-engineer
JOB13789660909,"Machine Learning Engineer - San Jose, CA - Indeed.com",,,,https://www.indeed.com/jobs?q=data%20scientist&l=Mountain%20View%2C%20CA&radius=15&explvl=entry_level&ts=1532407691135&rq=1&fromage=last&vjk=ee005ec2fb15e7f4
JOB24428537947,Senior Machine Learning Engineer,Experience in scientific computing with other languages & frameworks,"Choose your own hardware & setup for your working environment. Adjustable standing desks available.,Workplace pension. We'll match your contributions up to 10%.,Significant software engineering skills and experience,Strong academic record and a degree with high mathematical and computing content e.g. Computer Science, Mathematics, Engineering or Physics from a leading university,Strong Python & Cython,Proficient in C/C++ on modern architectures,Experience with the NumPy/SciPy stack,Strong general high performance computing:
Multi threading
Profiling Python/C/C++ and performance optimisation
Networking,Multi threading,Profiling Python/C/C++ and performance optimisation,Networking,Proficient on Linux platforms with knowledge of various scripting languages,Takes pride in engineering excellence and encourages best practice in others,A systematic, analytical approach to tackling problems and designing solutions,Other relevant qualifications in Computer Science, Engineering, Maths, Physics etc,Experience of machine learning techniques and related libraries and frameworks e.g. scikit-learn, Tensorflow","
Job description
At Longshot Systems we build advanced platforms for sports betting analytics and tr...",http://stackoverflow.com/jobs/155831/senior-machine-learning-engineer-longshot-systems-ltd
JOB25216636669,Hiring Kit: Machine Learning Engineer,,,"
Increasingly, successful modern businesses are relying on digitization and automation to make their...",https://www.techrepublic.com/resource-library/whitepapers/hiring-kit-machine-learning-engineer/
JOB31085856480,Machine Learning Engineer jobs,,"Expertise in applied machine learning.,Strong technical knowledge of classical machine learning approaches as well as novel Deep Learning methods.,Information retrieval, machine learning, artificial intelligence, statistics and analytics.,Salary offers are based on candidates' education level and years of…,Build machine learning systems to understand the secondary marketplace eCommerce ecosystem.,We are looking for a highly-skilled Machine Learning Engineer with a…,Solid understanding and hands on experience with solving computer vision problems using deep learning.,Develop deep learning models (CNN/RNN) for production…,Experience in machine learning, deep learning, search, natural language processing, data science, or computer vision.,Proficiency with C/C++/Java.,Proficiency with Python and basic libraries for machine learning such as scikit-learn and pandas.,Proficiency with a deep learning framework such as TensorFlow…,As a machine learning engineer, you'll be responsible for the end-to-end process of designing and running experiments to serving production models at scale.,Experience applying machine learning to image/video preferred.,Experience with conventional machine learning techniques and coding packages (e.g. scikit-learn).,Experience with 5+ years’ experience as a machine learning engineer;,Experience in at least one of the following areas: machine learning, and data mining;,You can apply advanced statistical and machine learning techniques to model user behavior, build benchmark metrics, and drive causal impact using A/B testing.,Apply the latest advances in deep learning and machine learning to personalize Pinterest user's Homefeeds.,5+ years experience applying machine learning methods…,Responsible for architecting and building machine learning tools and infrastructure using Python, AWS/K8s, Tensorflow and more.,Designs and prototypes complex machine learning systems.,Hands on experience with various deep machine-learning techniques.,The machine learning workflow has no standard tooling for labeling data, storing it, debugging models and then continually improving model accuracy.,Demonstrated familiarity with and understanding of the latest advances in deep learning.,Hands on experience with open source deep learning toolkits such as:…","
Expertise in applied machine learning.
Strong technical knowledge of classical machine learning app...",https://www.indeed.com/jobs?q=Machine+Learning+Engineer&l=
